Time,User,Tweet
2020-07-29 13:39:06+00:00,DisasterState,threat covid aapdamitra volunt display exemplari humanitarian prevent action kolhapur district ndmaindia cmomaharashtra mantralayaroom mahadgipr infodivkolhapur infokolhapur
2020-07-25 03:47:11+00:00,DisasterState,rain updat
2020-07-25 03:31:59+00:00,DisasterState,subhash chandra bose aapda prabandhan puraskarn disast manag author govern india applic year would accept st juli st august link appli cmomaharashtra mahadgipr
2020-07-24 21:20:59+00:00,DisasterState,weather updat mahadgipr mantralayaroom
2020-07-16 07:06:05+00:00,DisasterState,disast servic alway
2020-07-14 04:27:26+00:00,DisasterState,weather updat
2020-07-13 03:16:57+00:00,DisasterState,weather updat
2020-07-05 13:25:59+00:00,DisasterState,rainupd
2020-07-04 21:22:58+00:00,DisasterState,mumbairainupd
2020-07-03 15:57:17+00:00,DisasterState,heavyrainfallalert take care mantralayaroom mahadgipr
